"name"	"country_code"	"reg_code"	"reg_name"	"area_code"	"area_name"	"location_type"	"agcode_1500"	"agcode_1501"	"agcode_1502"	"agcode_1503"	"agcode_1517"	"agcode_901"	"agcode_902"	"agcode_921"	"agcode_934"	"agcode_941"	"agcode_947"	"agcode_948"
"Martinique"	474	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Montserrat"	500	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Puerto Rico"	630	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Saint Kitts and Nevis"	659	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Saint Lucia"	662	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Saint Vincent and the Grenadines"	670	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Sint Maarten (Dutch part)"	534	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Trinidad and Tobago"	780	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Turks and Caicos Islands"	796	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"United States Virgin Islands"	850	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Central America"	916	916	"Central America"	904	"Latin America and the Caribbean"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Belize"	84	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Costa Rica"	188	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"El Salvador"	222	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Guatemala"	320	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Honduras"	340	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Mexico"	484	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Nicaragua"	558	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Panama"	591	916	"Central America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"South America"	931	931	"South America"	904	"Latin America and the Caribbean"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Argentina"	32	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Bolivia (Plurinational State of)"	68	931	"South America"	904	"Latin America and the Caribbean"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Brazil"	76	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Chile"	152	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Colombia"	170	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Ecuador"	218	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Falkland Islands (Malvinas)"	238	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"French Guiana"	254	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Guyana"	328	931	"South America"	904	"Latin America and the Caribbean"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Paraguay"	600	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Peru"	604	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Suriname"	740	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Uruguay"	858	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Venezuela (Bolivarian Republic of)"	862	931	"South America"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"NORTHERN AMERICA"	905	905	"Northern America"	900	"World"	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Bermuda"	60	905	"Northern America"	905	"Northern America"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Canada"	124	905	"Northern America"	905	"Northern America"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Greenland"	304	905	"Northern America"	905	"Northern America"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Saint Pierre and Miquelon"	666	905	"Northern America"	905	"Northern America"	4	-1	-1	-1	-1	-1	901	-1	-1	-1	-1	-1	-1
"United States of America"	840	905	"Northern America"	905	"Northern America"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"OCEANIA"	909	909	"Oceania"	900	"World"	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Australia/New Zealand"	927	927	"Australia/New Zealand"	909	"Oceania"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Australia"	36	927	"Australia/New Zealand"	909	"Oceania"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"New Zealand"	554	927	"Australia/New Zealand"	909	"Oceania"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Melanesia"	928	928	"Melanesia"	909	"Oceania"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Fiji"	242	928	"Melanesia"	909	"Oceania"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"New Caledonia"	540	928	"Melanesia"	909	"Oceania"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Papua New Guinea"	598	928	"Melanesia"	909	"Oceania"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Solomon Islands"	90	928	"Melanesia"	909	"Oceania"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"Vanuatu"	548	928	"Melanesia"	909	"Oceania"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"Micronesia"	954	954	"Micronesia"	909	"Oceania"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Guam"	316	954	"Micronesia"	909	"Oceania"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Kiribati"	296	954	"Micronesia"	909	"Oceania"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"Marshall Islands"	584	954	"Micronesia"	909	"Oceania"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Micronesia (Fed. States of)"	583	954	"Micronesia"	909	"Oceania"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Nauru"	520	954	"Micronesia"	909	"Oceania"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Northern Mariana Islands"	580	954	"Micronesia"	909	"Oceania"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Palau"	585	954	"Micronesia"	909	"Oceania"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Polynesia"	957	957	"Polynesia"	909	"Oceania"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"American Samoa"	16	957	"Polynesia"	909	"Oceania"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Cook Islands"	184	957	"Polynesia"	909	"Oceania"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"French Polynesia"	258	957	"Polynesia"	909	"Oceania"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Niue"	570	957	"Polynesia"	909	"Oceania"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Samoa"	882	957	"Polynesia"	909	"Oceania"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Tokelau"	772	957	"Polynesia"	909	"Oceania"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Tonga"	776	957	"Polynesia"	909	"Oceania"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Tuvalu"	798	957	"Polynesia"	909	"Oceania"	4	-1	-1	1502	-1	1517	-1	902	-1	-1	941	-1	948
"Wallis and Futuna Islands"	876	957	"Polynesia"	909	"Oceania"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
