"country_code"	"name"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
90	"Solomon Islands"	"30-34"	21.805	21.805	21.805	21.8049	20.566	20.646	20.726	21.001	21.407	21.8129	21.691	21.826	21.9617	22.0951	22.2588	22.4643	22.7066	22.9938	23.3257	23.7018	24.1268	24.5995	25.1163	25.669	26.2553	26.8762	27.5062	28.1328	28.745	29.3316
90	"Solomon Islands"	"35-39"	18.3	18.3	18.3	18.3	15.1721	14.925	14.679	14.365	14.008	13.6501	12.779	13.145	13.512	13.87	14.2109	14.5342	14.8468	15.1473	15.4299	15.6967	15.9498	16.1797	16.3882	16.5791	16.7428	16.8783	16.9914	17.0736	17.1309	17.1645
90	"Solomon Islands"	"40-44"	10.3591	10.3591	10.3591	10.359	9.5079	8.429	7.351	6.514	5.8379	5.162	5.677	6.0419	6.4058	6.771	7.0958	7.38	7.6157	7.7965	7.9309	8.0049	8.0249	7.9888	7.899	7.7589	7.5735	7.3439	7.0861	6.8081	6.52	6.231
90	"Solomon Islands"	"45-49"	3.913	3.913	3.913	3.913	2.832	2.51	2.188	1.984	1.857	1.731	2.239	2.406	2.573	2.732	2.855	2.937	2.973	2.9659	2.9149	2.826	2.706	2.5589	2.39	2.207	2.0128	1.8191	1.6299	1.4469	1.2791	1.1249
548	"Vanuatu"	"15-19"	7.5559	7.5559	7.5559	7.371	7.064	7.7821	7.743	7.705	7.228	6.75	6.6591	6.568	6.568	6.5047	6.4129	6.2979	6.16	6.0038	5.8296	5.6388	5.434	5.2241	5.0052	4.7869	4.5617	4.3383	4.1208	3.9068	3.6982	3.4972
548	"Vanuatu"	"20-24"	23.7035	23.7035	23.7035	23.32	22.681	23.6652	24.0018	24.3387	24.9441	25.55	25.2863	25.023	25.023	24.8443	24.6067	24.3186	23.9799	23.5935	23.1648	22.6938	22.1874	21.6497	21.0857	20.5004	19.9037	19.2979	18.6885	18.0808	17.4761	16.8817
548	"Vanuatu"	"25-29"	26.3695	26.3695	26.3695	25.942	25.228	25.3163	25.3437	25.3707	25.305	25.24	25.7562	26.273	26.273	26.5092	26.7468	26.9853	27.227	27.4685	27.7135	27.9606	28.2062	28.4478	28.6849	28.91	29.1323	29.3444	29.5391	29.7233	29.8963	30.0532
548	"Vanuatu"	"30-34"	21.6296	21.6296	21.6296	21.205	20.497	20.0262	19.9098	19.7929	19.481	19.17	19.7122	20.2529	20.253	20.5242	20.8337	21.1816	21.57	22.0017	22.4779	22.9989	23.5602	24.1589	24.7926	25.4553	26.1375	26.8394	27.5511	28.2714	28.9933	29.717
548	"Vanuatu"	"35-39"	14.5187	14.5187	14.5187	14.259	13.827	14.0422	13.9698	13.8968	13.494	13.09	13.3102	13.53	13.53	13.6317	13.7339	13.8407	13.9521	14.0686	14.1857	14.3122	14.4371	14.5644	14.6936	14.8207	14.9452	15.0688	15.1907	15.3038	15.4121	15.5156
548	"Vanuatu"	"40-44"	5.6299	5.6299	5.6299	6.458	7.8381	6.6781	6.463	6.2479	6.244	6.24	6.24	6.2401	6.24	6.2259	6.189	6.1338	6.0611	5.971	5.8655	5.7437	5.6101	5.467	5.3132	5.1527	4.9867	4.8162	4.6449	4.4758	4.3059	4.1364
548	"Vanuatu"	"45-49"	0.593	0.593	0.593	1.445	2.865	2.49	2.569	2.648	3.304	3.96	3.036	2.1129	2.113	1.7599	1.4769	1.242	1.0499	0.8929	0.763	0.652	0.565	0.4881	0.425	0.3741	0.3329	0.295	0.2649	0.2381	0.218	0.1989
954	"Micronesia"	"15-19"	6.9148	7.1335	7.3077	7.4862	8.0575	8.333	8.4222	9.0109	8.9698	8.4616	7.1938	5.777	4.56	3.8663	3.3011	2.7829	2.3537	2.0101	1.7535	1.5711	1.4335	1.3236	1.24	1.1812	1.1518	1.1299	1.1134	1.1143	1.1246	1.1381
954	"Micronesia"	"20-24"	22.0696	22.95	23.0128	22.8845	23.8294	24.5995	24.7964	24.6387	24.3873	24.3799	23.0388	21.2526	18.3695	16.7578	15.8472	14.8694	13.6011	12.3634	11.4106	10.7568	10.236	9.7569	9.321	8.9783	8.7535	8.6156	8.5379	8.4886	8.4755	8.5247
954	"Micronesia"	"25-29"	24.4869	24.5979	24.8182	25.0334	25.4845	26.1497	26.0306	25.3082	25.5036	25.9306	27.0571	28.6483	29.0526	28.1622	28.4151	29.0718	29.914	30.4265	30.1832	30.0374	30.1438	30.3754	30.6544	30.8915	31.0029	31.0608	31.1488	31.2483	31.398	31.5136
954	"Micronesia"	"30-34"	21.2557	21.1028	20.7764	20.5665	19.797	19.6402	20.5194	20.6577	20.5332	20.5728	22.1406	24.5323	28.3623	30.3575	31.085	32.4719	33.8474	35.3594	36.871	37.6304	38.1603	38.5853	38.9473	39.2545	39.4891	39.6155	39.6025	39.4981	39.344	39.1972
954	"Micronesia"	"35-39"	15.8278	15.1799	15.167	14.9122	14.0472	13.4624	13.1535	13.129	13.2068	13.1968	13.7332	13.7948	14.4935	16.193	16.9623	16.6879	16.4907	16.387	16.6193	17.0682	17.2664	17.3105	17.2695	17.2038	17.1853	17.2277	17.3016	17.3536	17.3533	17.3343
954	"Micronesia"	"40-44"	7.87	7.5271	7.4733	7.5804	7.1977	6.4952	5.8861	5.9039	6.0139	6.0428	5.5773	5.0005	4.4598	4.0892	3.8689	3.5998	3.3349	3.0831	2.8607	2.6717	2.5177	2.4213	2.359	2.2955	2.231	2.1765	2.1357	2.1351	2.1411	2.1314
954	"Micronesia"	"45-49"	1.5752	1.5088	1.4445	1.5367	1.5867	1.3199	1.1919	1.3516	1.3854	1.4156	1.2593	0.9945	0.7024	0.5741	0.5205	0.5163	0.4582	0.3706	0.3016	0.2645	0.2423	0.2272	0.2088	0.1952	0.1863	0.1741	0.16	0.162	0.1636	0.1607
316	"Guam"	"15-19"	7.884	8.502	8.8539	9.7431	11.293	12.307	12.7578	13.4231	13.459	12.1311	10.46	9.2832	7.9041	6.8368	5.9219	5.1409	4.4811	3.9331	3.4869	3.1201	2.8271	2.5942	2.408	2.2629	2.1491	2.0641	2.0022	1.9691	1.9461	1.9301
316	"Guam"	"20-24"	26.287	28.948	28.5207	28.4743	30.645	31.15	31.5468	31.4949	30.4389	29.0359	27.463	26.3872	25.0039	23.716	22.4249	21.1428	19.9054	18.7471	17.689	16.7508	15.924	15.2097	14.5991	14.0788	13.6468	13.2831	13.0047	12.8464	12.7245	12.6336
316	"Guam"	"25-29"	24.233	24.39	25.3027	26.2803	27.334	28.031	26.7437	26.5741	27.4	27.9229	27.548	27.4423	27.6149	27.5529	27.4978	27.4587	27.4426	27.4521	27.4896	27.555	27.6493	27.7694	27.9143	28.0812	28.2673	28.4677	28.6589	28.7633	28.8657	28.9654
316	"Guam"	"30-34"	19.165	18.569	18.0318	17.3202	16.0941	16.4839	17.7159	17.601	17.8122	18.9122	20.4281	21.4512	23.1732	24.508	25.7927	27.0309	28.2056	29.2953	30.2808	31.1594	31.9284	32.5955	33.1693	33.6593	34.0717	34.4196	34.6919	34.8433	34.9601	35.051
