"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
706	"Somalia"	0	-1.328	-1.328	1.91	0	1870.372	-400.89	-399.7	-806.214	-101.684	-183.096	-186.25	-226.869	-199.788	-149.837	-149.837	-149.837	-149.837	-149.837	-149.837	-142.345	-134.857	-127.363	-119.868	-112.376	-104.888	-97.395	-89.902	-82.411	-74.918
728	"South Sudan"	0	0	0	0	25	60	150	-405	-1076	400	432	785	425	150	50	0	-25	-25	-25	-25	-23.75	-22.5	-21.25	-20	-18.75	-17.5	-16.25	-15	-13.75	-12.5
800	"Uganda"	0	0	125.2	53.33	-240.53	-166.66	-115.34	233.366	119.995	-45.737	-5	-135	-150	-150	-150	-150	-150	-150	-150	-150	-142.5	-135	-127.5	-120	-112.5	-105	-97.5	-90	-82.5	-75
834	"United Republic of Tanzania"	0	0	26.997	36.024	118.989	-22.25	37.181	68.208	591.285	-205.874	-295.952	-265.317	-199.999	-199.999	-199.999	-199.999	-199.999	-199.999	-199.999	-199.999	-190	-180	-170.001	-160	-150	-139.999	-130.003	-120	-110	-99.998
894	"Zambia"	0	0	2.5	-4.245	26.662	17.573	58.483	2.822	-22.952	79.445	-93.014	-124.044	-34.49	-40	-40	-25	-25	-25	-25	-25	-23.75	-22.5	-21.25	-20	-18.75	-17.5	-16.25	-15	-13.75	-12.5
716	"Zimbabwe"	-4.507	-7.504	-15.009	-42.001	-45.547	-152.283	99.068	84.354	-199.997	-219.998	-350.001	-300	-249.999	-99.998	-79.999	-50.001	-50.001	-50.001	-50.001	-50.001	-47.5	-44.998	-42.499	-40.002	-37.501	-35	-32.498	-29.997	-27.501	-25.001
911	"Middle Africa"	-6.14	-2.979	-2.163	7.895	-187.696	-92.986	-254.193	-119.549	1478.775	-1001.318	196.452	176.234	-119.904	15.3	1.252	-98.502	-113.503	-113.503	-118.505	-123.501	-117.325	-111.153	-104.976	-98.797	-92.625	-86.445	-80.276	-74.097	-67.927	-61.747
24	"Angola"	0	-75	-135	-226.155	-80.955	11.455	234.148	-151.982	142.811	-126.955	172.594	85.286	87.322	0	0	-5	-5	-5	-5	-5	-4.75	-4.5	-4.25	-4	-3.75	-3.5	-3.25	-3	-2.75	-2.5
120	"Cameroon"	0	0	0	-1	-2.5	0	-16.5	-19.5	-48	-48	-54	-54	-36	-24	-24	-24	-24	-24	-24	-24	-22.8	-21.6	-20.4	-19.2	-18	-16.8	-15.6	-14.4	-13.2	-12
140	"Central African Republic"	0	0	11.93	13.145	-20.075	4	40.165	-45	50	25	-24.405	-125.614	-396.129	-150	-25	-25	-25	-25	-25	-25	-23.75	-22.5	-21.25	-20	-18.75	-17.5	-16.25	-15	-13.75	-12.5
